web-scraper-order,web-scraper-start-url,berita,berita-href
"1591761262-179","https://kumparan.com/search/haji%202020/","Pasien Positif Corona di Gorontalo Bertambah 9, 4 di Antaranya Tenaga Kesehatan","https://kumparan.com/banthayoid/pasien-positif-corona-di-gorontalo-bertambah-9-4-di-antaranya-tenaga-kesehatan-1tTIcE6Vgom"
"1591761262-102","https://kumparan.com/search/haji%202020/","270 Calon Haji Kota Tegal Gagal Berangkat","https://kumparan.com/panturapost/270-calon-haji-kota-tegal-gagal-berangkat-1tXeAIAmsXP"
"1591761262-34","https://kumparan.com/search/haji%202020/","BI Bantah Dana Haji Dipakai untuk Perkuat Rupiah","https://kumparan.com/kumparanbisnis/bi-bantah-dana-haji-dipakai-untuk-perkuat-rupiah-1tYRappKZbB"
"1591761262-6","https://kumparan.com/search/haji%202020/","Menag: Calon Jemaah Haji yang Gagal Berangkat Tahun ini Jadi Jemaah Tahun 2021","https://kumparan.com/kumparannews/menag-calon-jemaah-haji-yang-gagal-berangkat-tahun-ini-jadi-jemaah-tahun-2021-1tX6rD0pWo2"
"1591761262-13","https://kumparan.com/search/haji%202020/","Haji 2020 Batal, Begini Prosedur Pengembalian Setoran Lunas Biaya Haji Reguler","https://kumparan.com/kumparannews/haji-2020-batal-begini-prosedur-pengembalian-setoran-lunas-biaya-haji-reguler-1tXVqQ4qY37"
"1591761262-11","https://kumparan.com/search/haji%202020/","17 Penumpang Sriwijaya Air Jalani Karantina 4 Hari di Asrama Haji Natuna","https://kumparan.com/batamnews/17-penumpang-sriwijaya-air-jalani-karantina-4-hari-di-asrama-haji-natuna-1tZzmFqOfO0"
"1591761262-41","https://kumparan.com/search/haji%202020/","Alasan Pemerintah Tak Berangkatkan Haji 2020","https://kumparan.com/kumparannews/alasan-pemerintah-tak-berangkatkan-haji-2020-1tX6lkOMHqz"
"1591761262-177","https://kumparan.com/search/haji%202020/","Jumlah Pasien Terpapar COVID-19 di Gorontalo Bertambah Jadi 68 Kasus","https://kumparan.com/banthayoid/jumlah-pasien-terpapar-covid-19-di-gorontalo-bertambah-jadi-68-kasus-1tVdpmyq20G"
"1591761262-96","https://kumparan.com/search/haji%202020/","Buka Rakernas Haji, Menag Harap Hotel Jemaah 2020 Dekat Jamarat","https://kumparan.com/kumparannews/buka-rakernas-haji-menag-harap-hotel-jemaah-2020-dekat-jamarat-1s17eTaa7iy"
"1591761262-79","https://kumparan.com/search/haji%202020/","Persiapan Akomodasi Jemaah Haji di Makkah 97 Persen, Rampung April 2020","https://kumparan.com/kumparannews/persiapan-akomodasi-jemaah-haji-di-makkah-97-persen-rampung-april-2020-1t73LWO9FoY"
"1591761262-168","https://kumparan.com/search/haji%202020/","Kemenag Akan Gelar Evaluasi Penyelenggaraan Haji 2019","https://kumparan.com/kumparannews/kemenag-akan-gelar-evaluasi-penyelenggaraan-haji-2019-1ryE3F04zDw"
"1591761262-158","https://kumparan.com/search/haji%202020/","Di Kota Probolinggo, 177 CJH Gagal Berangkat","https://kumparan.com/wartabromo/di-kota-probolinggo-177-cjh-gagal-berangkat-1tXV2zWpveu"
"1591761262-164","https://kumparan.com/search/haji%202020/","BRIsyariah Siap Dukung Pemerintah Tentang Pembatalan Keberangkatan Jemaah Haji","https://kumparan.com/kumparanbisnis/brisyariah-siap-dukung-pemerintah-tentang-pembatalan-keberangkatan-jemaah-haji-1tXdeDhV31B"
"1591761262-136","https://kumparan.com/search/haji%202020/","4 Cerita Sedih Penantiaan Calon Jemaah Haji yang Gagal Berangkat Tahun Ini","https://kumparan.com/berita_viral/4-cerita-sedih-penantiaan-calon-jemaah-haji-yang-gagal-berangkat-tahun-ini-1tXX1VwaVoE"
"1591761262-88","https://kumparan.com/search/haji%202020/","Haji 2020 Batal, Kemenag Aceh: CJH yang Telah Lunasi Bipih Akan Berangkat 2021","https://kumparan.com/acehkini/haji-2020-batal-kemenag-aceh-cjh-yang-telah-lunasi-bipih-akan-berangkat-2021-1tXDAPZrYdE"
"1591761262-180","https://kumparan.com/search/haji%202020/","Ini Pesan Bupati Tuban pada Pengurus IPHI","https://kumparan.com/bloktuban/ini-pesan-bupati-tuban-pada-pengurus-iphi"
"1591761262-60","https://kumparan.com/search/haji%202020/","Fadli Zon Minta Pemerintah Antisipasi Haji 2020 terkait Corona","https://kumparan.com/kumparannews/fadli-zon-minta-pemerintah-antisipasi-haji-2020-terkait-corona-1t6D4KBiWwE"
"1591761262-45","https://kumparan.com/search/haji%202020/","Kemenag Bicara Kemungkinan Biaya Haji dan Umrah Naik pada 2021","https://kumparan.com/kumparannews/kemenag-bicara-kemungkinan-biaya-haji-dan-umrah-naik-pada-2021-1tXfe7c8bmg"
"1591761262-54","https://kumparan.com/search/haji%202020/","Kemenag Sudah Siapkan Hotel hingga Transportasi untuk Jemaah Haji di Arab Saudi","https://kumparan.com/kumparannews/kemenag-sudah-siapkan-hotel-hingga-transportasi-untuk-jemaah-haji-di-arab-saudi-1tCGuzfGYsp"
"1591761262-116","https://kumparan.com/search/haji%202020/","Saudi Minta RI Tunda Penyelesaian Kontrak Haji karena Virus Corona","https://kumparan.com/kumparannews/saudi-minta-ri-tunda-penyelesaian-kontrak-haji-karena-virus-corona-1t3Q5dlZm8J"
"1591761262-84","https://kumparan.com/search/haji%202020/","Kemenag Tunggu Kepastian Pelaksanaan Haji 2020 dari Arab Saudi hingga 20 Mei","https://kumparan.com/kumparannews/kemenag-tunggu-kepastian-pelaksanaan-haji-2020-dari-arab-saudi-hingga-20-mei-1tOQUW0t5U2"
"1591761262-14","https://kumparan.com/search/haji%202020/","Tanggapan Jemaah Mengenai Haji 2020 Batal Berangkat","https://kumparan.com/kumparanvideo/tanggapan-jemaah-mengenai-haji-2020-batal-berangkat-1tXf0sQRiW4"
